Date,Open,High,Low,Close,Adj Close,Volume
2018-08-16,343.000000,343.899994,332.850006,340.200012,319.719513,7445622
2018-08-17,344.000000,359.000000,344.000000,357.250000,335.743073,6562996
2018-08-20,359.950012,385.950012,358.350006,377.450012,354.727051,9299936
2018-08-21,379.799988,389.700012,371.049988,387.450012,364.124969,4923042
2018-08-23,388.000000,397.000000,388.000000,391.450012,367.884186,4299295
2018-08-24,390.700012,402.500000,381.200012,398.450012,374.462769,3749033
2018-08-27,403.000000,404.600006,394.049988,396.149994,372.301208,2542445
2018-08-28,398.000000,401.750000,392.950012,397.350006,373.428986,2132696
2018-08-29,396.899994,398.799988,385.200012,387.149994,363.843048,2530185
2018-08-30,386.799988,396.250000,384.000000,387.899994,364.547852,5005078
2018-08-31,390.100006,406.600006,390.100006,402.750000,378.503876,4507525
2018-09-03,406.000000,420.299988,401.399994,405.450012,381.041382,5092585
2018-09-04,404.750000,409.700012,389.000000,392.549988,368.917938,2692159
2018-09-05,392.000000,407.000000,389.200012,401.950012,377.752075,2737343
2018-09-06,405.149994,425.549988,400.250000,422.350006,396.923950,5084800
2018-09-07,417.000000,431.399994,409.200012,426.000000,400.354248,6929929
2018-09-10,423.950012,432.500000,417.200012,420.299988,394.997345,2820252
2018-09-11,422.500000,427.000000,405.200012,408.899994,384.283661,2532362
2018-09-12,411.000000,412.899994,399.649994,408.700012,384.095703,2144506
2018-09-14,415.000000,420.000000,410.200012,411.700012,386.915100,2471602
2018-09-17,411.950012,417.899994,408.100006,413.149994,388.277771,1613138
2018-09-18,413.799988,420.000000,405.649994,408.450012,383.860779,1952399
2018-09-19,411.500000,414.000000,403.000000,407.500000,382.967926,1515745
2018-09-21,411.000000,414.799988,366.750000,394.000000,370.280640,3953672
2018-09-24,399.299988,399.299988,377.000000,385.049988,361.869415,1864471
2018-09-25,386.700012,396.100006,382.049988,394.100006,370.374603,1480341
2018-09-26,395.000000,403.799988,392.500000,399.149994,375.120575,1381815
2018-09-27,401.000000,402.549988,386.049988,388.950012,365.534668,1521608
2018-09-28,388.549988,394.600006,371.500000,385.950012,362.715271,1928644
2018-10-01,385.000000,398.850006,376.500000,396.649994,372.771149,1593399
2018-10-03,398.000000,404.000000,390.100006,393.799988,370.092682,1831607
2018-10-04,386.149994,392.000000,376.299988,383.250000,360.177826,1613796
2018-10-05,387.600006,389.450012,376.000000,378.350006,355.572815,1804396
2018-10-08,375.000000,380.950012,370.799988,376.399994,353.740173,1441264
2018-10-09,373.100006,385.950012,371.500000,380.950012,358.016327,1617720
2018-10-10,380.950012,387.799988,376.850006,385.299988,362.104370,1210563
2018-10-11,376.850006,382.299988,370.700012,374.399994,351.860565,1155902
2018-10-12,377.000000,381.950012,374.299988,376.899994,354.210083,761788
2018-10-15,376.100006,385.950012,375.500000,382.850006,359.801910,831107
2018-10-16,383.899994,387.399994,375.500000,380.049988,357.170441,1993018
2018-10-17,384.899994,384.899994,376.000000,377.549988,354.820953,816462
2018-10-19,376.899994,380.799988,366.000000,371.750000,349.370148,893281
2018-10-22,373.600006,378.000000,371.100006,373.000000,350.544891,711671
2018-10-23,369.500000,380.799988,367.399994,377.500000,354.773956,991239
2018-10-24,377.750000,380.899994,352.149994,357.649994,336.118927,2748450
2018-10-25,353.649994,354.000000,339.000000,340.700012,320.189423,2926363
2018-10-26,342.000000,346.000000,332.250000,337.399994,317.088074,1686930
2018-10-29,340.000000,350.950012,340.000000,349.000000,327.989716,1283870
2018-10-30,351.399994,357.500000,347.149994,348.250000,327.284882,1091197
2018-10-31,349.000000,361.000000,349.000000,360.049988,338.374481,1207102
2018-11-01,362.149994,365.700012,357.200012,359.399994,337.763611,1176169
2018-11-02,360.000000,365.799988,356.399994,358.850006,337.246735,803123
2018-11-05,349.899994,363.700012,348.100006,360.450012,338.750427,1284370
2018-11-06,362.000000,364.350006,347.100006,350.250000,329.164490,1107634
2018-11-07,352.750000,356.149994,352.450012,355.000000,333.628510,146034
2018-11-09,350.600006,362.399994,350.600006,360.250000,338.562439,787891
2018-11-12,360.000000,365.799988,354.549988,356.200012,334.756256,746695
2018-11-13,354.000000,358.500000,349.000000,355.299988,333.910461,529106
2018-11-14,355.000000,375.399994,355.000000,371.200012,348.853241,1816372
2018-11-15,371.350006,371.500000,357.950012,359.299988,337.669647,840344
2018-11-16,359.299988,364.450012,351.600006,355.200012,333.816467,1169373
2018-11-19,357.950012,365.899994,353.000000,364.049988,342.133698,1108255
2018-11-20,361.799988,364.049988,352.049988,355.000000,333.628510,764219
2018-11-21,355.299988,360.299988,352.450012,358.600006,337.011810,562003
2018-11-22,357.549988,358.600006,352.399994,353.899994,332.594696,539456
2018-11-26,354.799988,358.000000,345.100006,353.600006,332.312775,809029
2018-11-27,356.000000,356.899994,342.500000,345.750000,324.935394,1513963
2018-11-28,347.200012,349.649994,342.000000,343.799988,323.102753,944026
2018-11-29,345.000000,360.299988,341.649994,356.899994,335.414124,2821212
2018-11-30,356.000000,367.450012,354.350006,365.299988,343.308380,1222488
2018-12-03,369.000000,369.000000,353.549988,356.799988,335.320160,1432872
2018-12-04,357.899994,363.299988,347.049988,353.299988,332.030853,1195054
2018-12-05,355.500000,363.500000,354.500000,358.450012,336.870850,1687420
2018-12-06,356.649994,358.049988,350.250000,355.799988,334.380371,775206
2018-12-07,354.899994,355.850006,348.700012,349.399994,328.365631,869679
2018-12-10,344.000000,349.799988,339.200012,340.399994,319.907440,862965
2018-12-11,337.100006,348.000000,336.149994,345.649994,324.841400,1184307
2018-12-12,348.000000,354.899994,348.000000,352.899994,331.654968,1312527
2018-12-13,352.899994,358.250000,348.000000,349.399994,328.365631,1099741
2018-12-14,347.100006,351.600006,344.500000,346.450012,325.593231,703332
2018-12-17,350.350006,352.950012,348.200012,351.000000,329.869324,843653
2018-12-18,347.250000,347.950012,341.450012,345.250000,324.465485,1376167
2018-12-19,348.000000,348.000000,342.299988,343.049988,322.397919,1070544
2018-12-20,342.500000,345.799988,342.000000,344.250000,323.525665,852170
2018-12-21,345.149994,347.850006,340.200012,341.899994,321.317169,719385
2018-12-24,342.200012,344.450012,340.399994,341.649994,321.082184,499572
2018-12-26,342.000000,342.350006,336.200012,339.399994,318.967651,522052
2018-12-27,342.950012,343.000000,338.000000,338.799988,318.403748,537841
2018-12-28,340.250000,347.600006,339.350006,345.299988,324.512390,782756
2018-12-31,350.000000,350.399994,346.500000,348.450012,327.472870,1171717
2019-01-01,348.649994,352.899994,348.350006,350.049988,328.976501,692062
2019-01-02,348.500000,350.000000,342.549988,346.750000,325.875153,558345
2019-01-03,345.049988,348.799988,342.000000,343.649994,322.961792,482203
2019-01-04,345.000000,345.000000,339.000000,344.200012,323.478699,579722
2019-01-07,346.750000,349.649994,344.200012,348.899994,327.895721,516834
2019-01-08,349.200012,352.950012,347.100006,349.250000,328.224670,998829
2019-01-09,349.250000,352.350006,344.250000,347.700012,326.768005,536267
2019-01-10,346.899994,351.299988,345.850006,350.000000,328.929504,497887
2019-01-11,348.299988,352.700012,347.250000,348.299988,327.331818,891386
2019-01-14,350.250000,355.899994,349.600006,353.700012,332.406799,1672294
2019-01-15,355.100006,357.850006,352.899994,355.899994,334.474335,1068589
2019-01-16,355.000000,359.750000,351.100006,352.549988,331.326019,1206297
2019-01-17,353.000000,358.399994,351.500000,355.850006,334.427338,1053793
2019-01-18,353.299988,354.450012,343.049988,347.049988,326.157135,1220994
2019-01-21,345.950012,351.700012,343.549988,344.600006,323.854645,786496
2019-01-22,343.950012,347.600006,340.299988,346.049988,325.217346,504192
2019-01-23,346.000000,346.000000,340.700012,342.049988,321.458069,573513
2019-01-24,342.100006,347.000000,341.299988,346.100006,325.264282,545629
2019-01-25,346.000000,350.899994,343.000000,343.700012,323.008789,784074
2019-01-28,343.000000,343.600006,325.100006,334.350006,314.221680,1483625
2019-01-29,331.000000,332.899994,318.549988,321.700012,302.333221,1477021
2019-01-30,321.000000,325.899994,314.399994,319.149994,299.936737,1276905
2019-01-31,320.000000,322.850006,317.450012,318.950012,299.748779,982622
2019-02-01,319.399994,325.000000,316.500000,323.600006,304.118835,657757
2019-02-04,323.500000,326.899994,315.500000,318.899994,299.701813,994074
2019-02-05,319.899994,319.899994,311.950012,314.850006,295.895630,696394
2019-02-06,314.000000,325.000000,311.299988,317.950012,298.808990,998197
2019-02-07,320.049988,334.500000,318.250000,321.950012,302.568176,7512981
2019-02-08,327.700012,327.700012,319.600006,322.149994,302.756165,1635258
2019-02-11,322.500000,326.250000,320.000000,324.399994,304.870636,875355
2019-02-12,324.500000,326.350006,318.399994,319.600006,300.359619,975106
2019-02-14,319.000000,323.299988,315.700012,318.500000,299.325836,834172
2019-02-15,317.799988,319.000000,305.950012,314.000000,295.096771,1947521
2019-02-18,310.399994,317.350006,309.299988,311.799988,293.029205,772468
2019-02-19,312.000000,315.100006,310.500000,311.899994,293.123199,568174
2019-02-20,311.799988,314.750000,310.000000,313.200012,294.344971,643033
2019-02-21,314.950012,315.000000,310.700012,313.149994,294.297943,884693
2019-02-22,314.000000,317.500000,312.450012,315.200012,296.224548,581643
2019-02-25,317.100006,317.600006,313.049988,313.750000,294.861816,681427
2019-02-26,311.750000,313.899994,308.149994,312.450012,293.640076,607951
2019-02-27,313.250000,327.799988,312.500000,319.600006,300.359619,2145842
2019-02-28,321.500000,329.350006,315.149994,318.700012,299.513824,4430968
2019-03-01,320.649994,324.200012,317.450012,323.200012,303.742920,970103
